,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Shaquille O'Neal,29.0,4,166,50,84,0,0,45,68,13,36,49,15,2,11,14,7,145,0.595,,0.662,41.5,36.3,12.3,3.8,0.5,2.8
1,Kobe Bryant,23.0,4,174,36,70,6,11,29,36,3,20,23,21,6,3,15,11,107,0.514,0.545,0.806,43.5,26.8,5.8,5.3,1.5,0.8
2,Derek Fisher,27.0,4,132,17,33,8,12,9,14,2,12,14,15,1,0,7,10,51,0.515,0.667,0.643,33.0,12.8,3.5,3.8,0.3,0.0
3,Rick Fox,32.0,4,146,12,23,5,11,10,12,6,19,25,14,6,2,11,14,39,0.522,0.455,0.833,36.5,9.8,6.3,3.5,1.5,0.5
4,Robert Horry,31.0,4,158,11,24,5,11,5,6,6,23,29,17,11,7,6,13,32,0.458,0.455,0.833,39.5,8.0,7.3,4.3,2.8,1.8
5,Devean George,24.0,4,72,10,23,3,5,3,3,5,14,19,0,1,2,2,7,26,0.435,0.6,1.0,18.0,6.5,4.8,0.0,0.3,0.5
6,Brian Shaw,35.0,4,65,6,21,2,9,0,0,3,4,7,10,1,2,2,4,14,0.286,0.222,,16.3,3.5,1.8,2.5,0.3,0.5
7,Samaki Walker,25.0,4,24,1,4,0,0,2,2,3,5,8,0,0,1,3,5,4,0.25,,1.0,6.0,1.0,2.0,0.0,0.0,0.3
8,Lindsey Hunter,31.0,3,12,1,5,0,2,0,0,1,0,1,0,0,0,0,4,2,0.2,0.0,,4.0,0.7,0.3,0.0,0.0,0.0
9,Stanislav Medvedenko,22.0,2,9,1,1,0,0,0,0,1,0,1,0,0,0,0,3,2,1.0,,,4.5,1.0,0.5,0.0,0.0,0.0
10,Mitch Richmond,36.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,,1.0,2.0,0.0,0.0,0.0,0.0
11,Mark Madsen,26.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
12,Team Totals,,4,961,146,289,29,61,103,141,43,133,176,92,28,28,60,78,424,0.505,0.475,0.73,240.3,106.0,44.0,23.0,7.0,7.0
