Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Tim Duncan,26.0,6,264,54,109,0,2,37,54,23,79,102,32,6,32,23,16,145,0.495,0.0,0.685,44.0,24.2,17.0,5.3,1.0,5.3
1,Tony Parker,20.0,6,212,32,83,6,14,14,23,2,17,19,25,2,1,11,9,84,0.386,0.429,0.609,35.3,14.0,3.2,4.2,0.3,0.2
2,David Robinson,37.0,6,160,22,36,0,0,21,30,15,29,44,4,7,11,3,18,65,0.611,,0.7,26.7,10.8,7.3,0.7,1.2,1.8
3,Stephen Jackson,24.0,6,213,23,61,10,28,6,12,4,21,25,16,7,2,26,16,62,0.377,0.357,0.5,35.5,10.3,4.2,2.7,1.2,0.3
4,Manu Ginóbili,25.0,6,171,16,46,3,14,17,21,9,18,27,12,13,3,10,18,52,0.348,0.214,0.81,28.5,8.7,4.5,2.0,2.2,0.5
5,Malik Rose,28.0,6,127,19,43,0,1,8,8,10,13,23,4,3,3,11,14,46,0.442,0.0,1.0,21.2,7.7,3.8,0.7,0.5,0.5
6,Speedy Claxton,24.0,6,76,14,25,0,0,9,12,1,5,6,9,4,4,4,10,37,0.56,,0.75,12.7,6.2,1.0,1.5,0.7,0.7
7,Bruce Bowen,31.0,6,172,7,30,4,14,2,2,2,17,19,5,4,2,4,14,20,0.233,0.286,1.0,28.7,3.3,3.2,0.8,0.7,0.3
8,Steve Kerr,37.0,4,19,3,4,1,1,1,2,1,0,1,2,1,0,0,4,8,0.75,1.0,0.5,4.8,2.0,0.3,0.5,0.3,0.0
9,Kevin Willis,40.0,5,23,3,9,0,0,2,2,7,2,9,0,0,1,3,4,8,0.333,,1.0,4.6,1.6,1.8,0.0,0.0,0.2
10,Danny Ferry,36.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.7,0.0,0.0,0.0,0.0,0.0
11,Steve Smith,33.0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
12,Team Totals,,6,1440,193,447,24,75,117,166,74,201,275,109,47,59,95,123,527,0.432,0.32,0.705,240.0,87.8,45.8,18.2,7.8,9.8
